Customer ID,First Name,Last Name,Email,Accepts Email Marketing,Default Address Company,Default Address Address1,Default Address Address2,Default Address City,Default Address Province Code,Default Address Country Code,Default Address Zip,Default Address Phone,Phone,Accepts SMS Marketing,Total Spent,Total Orders,Note,Tax Exempt,Tags
'9124541595876,Colton,Roob,egnition_sample_1089@egnition.com,no,,363-3931 Ad St.,,Zaragoza,,EE,K7Y 5H7,'+3724403217,'+12836983601,no,0.00,0,,no,"egnition-sample-data, toys"
'9124541694180,Aglae,Cassin,egnition_sample_9805@egnition.com,no,,Ap #348-5212 Malesuada Road,,Saarbrucken,,MC,45015,'+842583526458,'+16626404127,no,143.00,1,,no,"egnition-sample-data, toys, VIP"
'9124541825252,Jarret,Nikolaus,egnition_sample_4453@egnition.com,no,,640-1995 Ut Rd.,,Salem,,CD,529515,'+243825126830,'+14409660528,no,99.00,1,,no,"egnition-sample-data, referral, toys"
'9124541989092,Jesus,Muller,egnition_sample_9039@egnition.com,no,,"P.O. Box 415, 8583 Non, St.",,Springfield,,BS,90558,'+12423254591,'+14789033086,no,485.00,1,,no,"egnition-sample-data, toys"
'9124542087396,Keegan,Stokes,egnition_sample_0575@egnition.com,no,,640-1995 Ut Rd.,,Salem,,CD,529515,'+243825126830,'+14357276300,no,421.00,2,,no,"egnition-sample-data, toys, VIP"
'9124542218468,Kobe,Abernathy,egnition_sample_7144@egnition.com,no,,346-7327 Massa St.,,Berlin,,GB,77805979 ,'+441212125369,'+17068676146,no,96.99,1,,no,"egnition-sample-data, toys"
'9124542284004,Thea,Goodwin,egnition_sample_4009@egnition.com,no,,Ap #567-2341 Andrassy ut,,Melbourne,VIC,AU,3000,'+3655698017,'+14756453715,no,63.99,1,,no,"egnition-sample-data, toys"
'9124542447844,Sherman,Feest,egnition_sample_1251@egnition.com,no,,923 Ligula. St.,,Herne,,CD,N725KO,'+243825000948,'+13238756842,no,0.00,0,,no,"egnition-sample-data, toys"
'9124542480612,Lafayette,Rowe,egnition_sample_8385@egnition.com,no,,"P.O. Box 214, 9833 Venenatis Av.",,Cherbourg-Octeville,,IQ,274366,'+9647501129126,'+18138991666,no,0.00,0,,no,"egnition-sample-data, referral, toys"
'9124542578916,Trystan,Volkman,egnition_sample_7517@egnition.com,no,,Ap #212-7721 Phasellus Avenue,,Telde,PH-00,PH,P8E 7Z8,'+67466997539,'+15038916760,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124542677220,Luella,Mohr,egnition_sample_7426@egnition.com,no,,"P.O. Box 233, 8726 Orci. Road",,Berlin,,MZ,2879,'+25821128674,'+18485015482,no,327.96,3,,no,"egnition-sample-data, toys, VIP"
'9124542742756,Johnnie,Von,egnition_sample_0991@egnition.com,no,,Ap #332-1748 Enim Rd.,,OK City,,SN,4378,'+221339516350,'+15205162915,no,104.99,1,,no,"egnition-sample-data, referral, toys"
'9124542808292,Keegan,Gutmann,egnition_sample_7358@egnition.com,no,,"P.O. Box 214, 9833 Venenatis Av.",,Cherbourg-Octeville,,IQ,274366,'+9647501129126,'+13522903835,no,103.00,1,,no,"egnition-sample-data, toys, VIP"
'9124542906596,Heloise,Murazik,egnition_sample_3331@egnition.com,no,,"P.O. Box 214, 9833 Venenatis Av.",,Cherbourg-Octeville,,IQ,274366,'+9647501129126,'+19807507773,no,172.00,2,,no,"egnition-sample-data, toys"
'9124542972132,Jose,Treutel,egnition_sample_1884@egnition.com,no,,640-1995 Ut Rd.,,Salem,,CD,529515,'+243825126830,'+19499717613,no,74.00,1,,no,"egnition-sample-data, toys, VIP"
'9124543004900,Rex,Kertzmann,egnition_sample_4279@egnition.com,no,,9872 Auctor St.,,Norderstedt,ASN,EG,31284,'+64355407216,'+18706413415,no,145.00,1,,no,"egnition-sample-data, toys"
'9124543037668,Juliana,Bogisich,egnition_sample_1818@egnition.com,no,,"P.O. Box 269, 705 Duis Av.",,Zaragoza,,TZ,6624,'+255688054267,'+13606737460,no,38.00,1,,no,"egnition-sample-data, referral, toys"
'9124543135972,Devonte,Leuschke,egnition_sample_3467@egnition.com,no,,"P.O. Box 879, 8424 Eget Street",,Bremerhaven,,BD,N27 2TJ,'+8801972548741,'+17244054247,no,0.00,0,,no,"egnition-sample-data, toys"
'9124543234276,Florida,Leffler,egnition_sample_1011@egnition.com,no,,"P.O. Box 415, 8583 Non, St.",,Springfield,,BS,90558,'+12423254591,'+17856291882,no,91.99,1,,no,"egnition-sample-data, referral, toys"
'9124543332580,Rosie,Runolfsdottir,egnition_sample_2403@egnition.com,no,,3508 Pharetra. Av.,,Nantes,,PY,42621,'+59546815309,'+14156228727,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124543430884,Cortney,Ritchie,egnition_sample_4918@egnition.com,no,,Ap #567-2341 Andrassy ut,,Melbourne,VIC,AU,3000,'+3655698017,'+19165307387,no,43.00,1,,no,"egnition-sample-data, toys, VIP"
'9124543463652,Eusebio,Heaney,egnition_sample_2484@egnition.com,no,,"P.O. Box 214, 9833 Venenatis Av.",,Cherbourg-Octeville,,IQ,274366,'+9647501129126,'+14698264082,no,127.98,2,,no,"egnition-sample-data, toys, VIP"
'9124543561956,Jamaal,Gusikowski,egnition_sample_2295@egnition.com,no,,723-306 Diam St.,,Greater Hobart,,AD,56014,'+376767083,'+18205561879,no,19.00,1,,no,"egnition-sample-data, toys, VIP"
'9124543627492,Zita,Bauch,egnition_sample_5854@egnition.com,no,,3740 Duis Road,,Halberstadt,,TR,4798,'+902123144893,'+16148655903,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124543758564,Lenna,Bernhard,egnition_sample_6067@egnition.com,no,,"666-9498 Vulputate, Rd.",,Colchester,,TG,171318,'+22890852987,'+19203405956,no,0.00,0,,no,"egnition-sample-data, toys"
'9124543824100,Hettie,Bogisich,egnition_sample_8915@egnition.com,no,,913-2468 Id Ave,,Gulfport,,GQ,31464,'+240551898371,'+13179990372,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124543987940,Brett,Dicki,egnition_sample_8235@egnition.com,no,,"P.O. Box 128, 1891 Fusce Road",,Puttlingen,,BW,596967,'+2673956537,'+14235735139,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124544053476,Caden,O'Connell,egnition_sample_0113@egnition.com,no,,Ap #567-2341 Andrassy ut,,Melbourne,VIC,AU,3000,'+3655698017,'+16803323867,no,494.00,2,,no,"egnition-sample-data, referral, toys"
'9124544119012,Kariane,Rogahn,egnition_sample_2836@egnition.com,no,,723-306 Diam St.,,Greater Hobart,,AD,56014,'+376767083,'+19376867358,no,168.00,1,,no,"egnition-sample-data, toys, VIP"
'9124544217316,Brendon,Schneider,egnition_sample_2630@egnition.com,no,,"P.O. Box 299, 6625 Porttitor Av.",,Kalgoorlie-Boulder,,ZW,521496,'+2631353109,'+16893531446,no,221.99,1,,no,"egnition-sample-data, toys, VIP"
'9124544348388,Ralph,Gulgowski,egnition_sample_6422@egnition.com,no,,6253 Vitae Ave,,Mostoles,,MF,60201,'+590590879321,'+12077293900,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124544446692,Thaddeus,Sipes,egnition_sample_8211@egnition.com,no,,"666-9498 Vulputate, Rd.",,Colchester,,TG,171318,'+22890852987,'+16054163907,no,277.00,1,,no,"egnition-sample-data, referral, toys"
'9124544512228,Alexandra,Hill,egnition_sample_4088@egnition.com,no,,"P.O. Box 427, 3202 Sed Avenue",,Aurora,IL,US,49523,'+9647501589651,'+15592528616,no,228.98,2,,no,"egnition-sample-data, referral, toys"
'9124544610532,Mikel,Koepp,egnition_sample_4841@egnition.com,no,,Ap #348-6667 Malesuada Av.,,Canberra,,MK,41-765,'+38923293861,'+18728980202,no,0.00,0,,no,"egnition-sample-data, referral, toys"
'9124544676068,Keith,Abernathy,egnition_sample_4290@egnition.com,no,,Ap #263-591 Aliquet Av.,,MC,,DM,S4X5E5,'+34770669054,'+13218903224,no,325.00,1,,no,"egnition-sample-data, toys, VIP"
'9124544774372,Anahi,Von,egnition_sample_7880@egnition.com,no,,"P.O. Box 726, 7322 Tellus Avenue",,Houston,,CD,923619,'+39471628609,'+16509025588,no,0.00,0,,no,"egnition-sample-data, referral, toys"
'9124544839908,Hertha,Rau,egnition_sample_8789@egnition.com,no,,"P.O. Box 415, 8583 Non, St.",,Springfield,,BS,90558,'+12423254591,'+17269585660,no,216.98,3,,no,"egnition-sample-data, toys"
'9124544905444,Imogene,Wiegand,egnition_sample_8914@egnition.com,no,,346-7327 Massa St.,,Berlin,,GB,77805979 ,'+441212125369,'+16417033335,no,0.00,0,,no,"egnition-sample-data, toys, VIP"
'9124545102052,Alexandrine,Veum,egnition_sample_2376@egnition.com,no,,Ap #336-7706 Vehicula Rd.,,Benalla,,KG,54239,'+996315876527,'+14793265392,no,21.98,1,,no,"egnition-sample-data, toys, VIP"
'9124545200356,Dixie,Schmeler,egnition_sample_9903@egnition.com,no,,417-3619 Pellentesque. Av.,,Badalona,,LB,23863,'+9611427183,'+17577146447,no,0.00,0,,no,"egnition-sample-data, referral, toys"
'9124545331428,Madisyn,Romaguera,egnition_sample_1637@egnition.com,no,,"P.O. Box 128, 1891 Fusce Road",,Puttlingen,,BW,596967,'+2673956537,'+16415770414,no,78.00,1,,no,"egnition-sample-data, toys, VIP"
