Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1185,egnition_sample_4182@egnition.com,refunded,,unfulfilled,,no,USD,181.00,0.00,0.00,181.00,"",0.00,"",2026-05-06 08:05:43 -0400,1,Nintendo HDMI Game Consoles,125.00,,TOY30,false,true,pending,Kade Torphy,Ap #567-2341 Andrassy ut,Ap #567-2341 Andrassy ut,,,Melbourne,'3000,VIC,AU,+3655698017,Brendon Schneider,827 Magna. Rd.,827 Magna. Rd.,,,Toledo,'43563,,BS,+12423336531,,"",,"","",0.00,NINTENDO,181.00,,,,6682763755748,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,Victoria,,,,,
#1185,egnition_sample_4182@egnition.com,,,,,,,,,,,,,,2026-05-06 08:05:43 -0400,1,Hasbro Taboo Board Game,28.00,"",TOY20,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,HASBRO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1185,egnition_sample_4182@egnition.com,,,,,,,,,,,,,,2026-05-06 08:05:43 -0400,1,Hasbro Taboo Board Game,28.00,"",TOY20,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,HASBRO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1184,egnition_sample_0122@egnition.com,paid,,unfulfilled,,no,USD,54.99,0.00,0.00,54.99,"",0.00,"",2026-05-06 08:05:40 -0400,1,Nerf N-Strike Elite Retaliator Blaster Toy,32.00,,TOY31,false,true,pending,Ralph Gulgowski,6253 Vitae Ave,6253 Vitae Ave,,,Mostoles,'60201,,MF,+590590879321,Devonte Leuschke,"P.O. Box 879, 8424 Eget Street","P.O. Box 879, 8424 Eget Street",,,Bremerhaven,N27 2TJ,,BD,+8801972548741,,"",,"","",0.00,NERF,54.99,,,,6682763591908,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1184,egnition_sample_0122@egnition.com,,,,,,,,,,,,,,2026-05-06 08:05:40 -0400,1,Dinotrux Large Scale Garby Character,22.99,"",TOY44,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,MATTEL,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1183,egnition_sample_8789@egnition.com,pending,,unfulfilled,,no,USD,45.00,0.00,0.00,45.00,"",0.00,"",2026-05-06 08:05:37 -0400,1,Nerf N-Strike Elite Retaliator Blaster Toy,32.00,,TOY31,false,true,pending,Natasha O'Conner,652-9825 Praesent Ave,652-9825 Praesent Ave,,,HH,'65077,,MV,+9603303421,Madisyn Romaguera,"P.O. Box 415, 8583 Non, St.","P.O. Box 415, 8583 Non, St.",,,Springfield,'90558,,BS,+12423254591,,"",,"","",0.00,NERF,45.00,,,,6682763493604,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1183,egnition_sample_8789@egnition.com,,,,,,,,,,,,,,2026-05-06 08:05:37 -0400,1,Hasbro Games Yahtzee Classic,13.00,"",TOY11,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,HASBRO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1182,egnition_sample_7426@egnition.com,refunded,,unfulfilled,,no,USD,187.99,0.00,0.00,187.99,"",0.00,"",2026-05-06 08:05:34 -0400,1,Nintendo HDMI Game Consoles,125.00,,TOY30,false,true,pending,Trystan Volkman,Ap #212-7721 Phasellus Avenue,Ap #212-7721 Phasellus Avenue,,,Telde,P8E 7Z8,PH-00,PH,+67466997539,Gillian Wilderman,"P.O. Box 233, 8726 Orci. Road","P.O. Box 233, 8726 Orci. Road",,,Berlin,'2879,,MZ,+25821128674,,"",,"","",0.00,NINTENDO,187.99,,,,6682763460836,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,Metro Manila,,,,,
#1182,egnition_sample_7426@egnition.com,,,,,,,,,,,,,,2026-05-06 08:05:34 -0400,1,Fisher Price Shimmer and Shine - Wish and Wear Genie Necklace,24.99,"",TOY61,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,FISHER PRICE,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1182,egnition_sample_7426@egnition.com,,,,,,,,,,,,,,2026-05-06 08:05:34 -0400,1,Hasbro Gaming Pie Face Sky High,38.00,"",TOY15,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,HASBRO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1181,egnition_sample_4918@egnition.com,pending,,unfulfilled,,no,USD,43.00,0.00,0.00,43.00,"",0.00,"",2026-05-06 08:05:32 -0400,1,Lego 2016 Sergeant Jyn Erso,43.00,,TOY09,false,true,pending,Trystan Volkman,Ap #212-7721 Phasellus Avenue,Ap #212-7721 Phasellus Avenue,,,Telde,P8E 7Z8,PH-00,PH,+67466997539,Kade Torphy,Ap #567-2341 Andrassy ut,Ap #567-2341 Andrassy ut,,,Melbourne,'3000,VIC,AU,+3655698017,,"",,"","",0.00,LEGO,43.00,,,,6682763296996,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,Metro Manila,Victoria,,,,
#1180,egnition_sample_1637@egnition.com,pending,,unfulfilled,,no,USD,78.00,0.00,0.00,78.00,"",0.00,"",2026-05-06 08:04:13 -0400,1,Gamesir F1 Joystick,78.00,,TOY29,false,true,pending,Ralph Gulgowski,6253 Vitae Ave,6253 Vitae Ave,,,Mostoles,'60201,,MF,+590590879321,Brett Dicki,"P.O. Box 128, 1891 Fusce Road","P.O. Box 128, 1891 Fusce Road",,,Puttlingen,'596967,,BW,+2673956537,,"",,"","",0.00,NINTENDO,78.00,,,,6682762477796,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1179,egnition_sample_4182@egnition.com,refunded,,unfulfilled,,no,USD,29.00,0.00,0.00,29.00,"",0.00,"",2026-05-06 08:04:11 -0400,1,Hasbro Gaming Monopoly Junior Electronic Banking Game,29.00,,TOY16,false,true,pending,Devonte Leuschke,"P.O. Box 879, 8424 Eget Street","P.O. Box 879, 8424 Eget Street",,,Bremerhaven,N27 2TJ,,BD,+8801972548741,Anahi Von,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628609,,"",,"","",0.00,HASBRO,29.00,,,,6682762346724,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1178,egnition_sample_4182@egnition.com,refunded,,unfulfilled,,no,USD,488.00,0.00,0.00,488.00,"",0.00,"",2026-05-06 08:04:08 -0400,1,Hasbro Nerf Elite Triad,10.00,,TOY34,false,true,pending,Aglae Cassin,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733584193,Natasha O'Conner,652-9825 Praesent Ave,652-9825 Praesent Ave,,,HH,'65077,,MV,+9603303421,,"",,"","",0.00,NERF,488.00,,,,6682762215652,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1178,egnition_sample_4182@egnition.com,,,,,,,,,,,,,,2026-05-06 08:04:08 -0400,1,Hasbro Nerf Elite Triad,10.00,"",TOY34,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NERF,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1178,egnition_sample_4182@egnition.com,,,,,,,,,,,,,,2026-05-06 08:04:08 -0400,1,Nintendo Switch with Neon Blue/Neon Red Joy-Con,468.00,"",TOY22,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTENDO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1177,egnition_sample_2836@egnition.com,refunded,,unfulfilled,,no,USD,168.00,0.00,0.00,168.00,"",0.00,"",2026-05-06 08:04:05 -0400,1,Nerf N-Strike Elite Hyperfire Blaster,66.00,,TOY35,false,true,pending,Jesus Muller,"P.O. Box 955, 9257 Enim, Road","P.O. Box 955, 9257 Enim, Road",,,Bayswater,'709495,,SI,+38612435491,Caden O'Connell,723-306 Diam St.,723-306 Diam St.,,,Greater Hobart,'56014,,AD,+376767083,,"",,"","",0.00,NERF,168.00,,,,6682762117348,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1177,egnition_sample_2836@egnition.com,,,,,,,,,,,,,,2026-05-06 08:04:05 -0400,1,Lego Marvel Super Heroes Marvel Avengers Infinity War Outrider Dropship Attack Set,26.00,"",TOY01,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,LEGO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1177,egnition_sample_2836@egnition.com,,,,,,,,,,,,,,2026-05-06 08:04:05 -0400,1,Nerf Modulus Tri-Strike Blaster Toy,76.00,"",TOY38,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NERF,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1176,egnition_sample_7284@egnition.com,refunded,,unfulfilled,,no,USD,366.00,0.00,0.00,366.00,"",0.00,"",2026-05-06 08:04:02 -0400,1,Nerf N-Strike Elite Hyperfire Blaster,66.00,,TOY35,false,true,pending,Luella Mohr,Ap #348-5212 Malesuada Road,Ap #348-5212 Malesuada Road,,,Saarbrucken,'45015,,MC,+842583526458,Brett Dicki,"P.O. Box 128, 1891 Fusce Road","P.O. Box 128, 1891 Fusce Road",,,Puttlingen,'596967,,BW,+2673956537,,"",,"","",0.00,NERF,366.00,,,,6682762051812,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1176,egnition_sample_7284@egnition.com,,,,,,,,,,,,,,2026-05-06 08:04:02 -0400,1,Nintendo Dsi Matte Red,300.00,"",TOY27,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTENDO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1175,egnition_sample_8789@egnition.com,pending,,unfulfilled,,no,USD,94.99,0.00,0.00,94.99,"",0.00,"",2026-05-06 08:02:44 -0400,1,Nintendo Patented 3.0inch,45.00,,TOY21,false,true,pending,Lafayette Rowe,"P.O. Box 214, 9833 Venenatis Av.","P.O. Box 214, 9833 Venenatis Av.",,,Cherbourg-Octeville,'274366,,IQ,+9647501129126,Thaddeus Sipes,Ap #336-7706 Vehicula Rd.,Ap #336-7706 Vehicula Rd.,,,Benalla,'54239,,KG,+996315876527,,"",,"","",0.00,NINTENDO,94.99,,,,6682760741092,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1175,egnition_sample_8789@egnition.com,,,,,,,,,,,,,,2026-05-06 08:02:44 -0400,1,Fisher Price Shimmer and Shine - Wish and Wear Genie Necklace,24.99,"",TOY61,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,FISHER PRICE,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1175,egnition_sample_8789@egnition.com,,,,,,,,,,,,,,2026-05-06 08:02:44 -0400,1,LEGO Bumblebee Helicopter,25.00,"",TOY08,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,LEGO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1174,egnition_sample_1884@egnition.com,paid,,unfulfilled,,no,USD,74.00,0.00,0.00,74.00,"",0.00,"",2026-05-06 08:02:41 -0400,1,Lego Batman Movie - Clayface Splat Attack,32.00,,TOY02,false,true,pending,Hettie Bogisich,913-2468 Id Ave,913-2468 Id Ave,,,Gulfport,'31464,,GQ,+240551898371,Rex Kertzmann,640-1995 Ut Rd.,640-1995 Ut Rd.,,,Salem,'529515,,CD,+243825126830,,"",,"","",0.00,LEGO,74.00,,,,6682760708324,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1174,egnition_sample_1884@egnition.com,,,,,,,,,,,,,,2026-05-06 08:02:41 -0400,1,Thomas and Friends Megabloks Sodar Adventures,42.00,"",TOY54,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGA BLOCKS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1173,egnition_sample_0122@egnition.com,paid,,unfulfilled,,no,USD,119.99,0.00,0.00,119.99,"",0.00,"",2026-05-06 08:02:38 -0400,1,Nintendo Super Famicom Mini,94.00,,TOY25,false,true,pending,Jose Treutel,"P.O. Box 269, 705 Duis Av.","P.O. Box 269, 705 Duis Av.",,,Zaragoza,'6624,,TZ,+255688054267,Anahi Von,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628609,,"",,"","",0.00,NINTENDO,119.99,,,,6682760642788,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1173,egnition_sample_0122@egnition.com,,,,,,,,,,,,,,2026-05-06 08:02:38 -0400,1,Mega Bloks Freddy Firetruck,25.99,"",TOY57,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGA BLOCKS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1172,egnition_sample_0575@egnition.com,pending,,unfulfilled,,no,USD,32.00,0.00,0.00,32.00,"",0.00,"",2026-05-06 08:02:35 -0400,1,Hasbro Monopoly Star Wars Game Set,32.00,,TOY13,false,true,pending,Madisyn Romaguera,"P.O. Box 415, 8583 Non, St.","P.O. Box 415, 8583 Non, St.",,,Springfield,'90558,,BS,+12423254591,Rex Kertzmann,640-1995 Ut Rd.,640-1995 Ut Rd.,,,Salem,'529515,,CD,+243825126830,,"",,"","",0.00,HASBRO,32.00,,,,6682760577252,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1171,egnition_sample_0113@egnition.com,paid,,unfulfilled,,no,USD,19.00,0.00,0.00,19.00,"",0.00,"",2026-05-06 08:02:32 -0400,1,Lego Super Heroes Mighty Micros: Wonder Women Vs.Doomsday,19.00,,TOY06,false,true,pending,Juliana Bogisich,"P.O. Box 427, 3202 Sed Avenue","P.O. Box 427, 3202 Sed Avenue",,,Aurora,'49523,IL,US,+9647501589651,Kade Torphy,Ap #567-2341 Andrassy ut,Ap #567-2341 Andrassy ut,,,Melbourne,'3000,VIC,AU,+3655698017,,"",,"","",0.00,LEGO,19.00,,,,6682760511716,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,Illinois,Victoria,,,,
#1170,egnition_sample_0991@egnition.com,refunded,,unfulfilled,,no,USD,104.99,0.00,0.00,104.99,"",0.00,"",2026-05-06 08:01:14 -0400,1,Lego Captain Phasma,43.00,,TOY10,false,true,pending,Jayce Dickinson,426-7891 Vel Avenue,426-7891 Vel Avenue,,,Frankfurt,66-855,,BG,+35948553782,Keegan Stokes,Ap #332-1748 Enim Rd.,Ap #332-1748 Enim Rd.,,,OK City,'4378,,SN,+221339516350,,"",,"","",0.00,LEGO,104.99,,,,6682759233764,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1170,egnition_sample_0991@egnition.com,,,,,,,,,,,,,,2026-05-06 08:01:14 -0400,1,Dinotrux Rollodon Die-Cast Character,4.99,"",TOY48,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,MATTEL,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1170,egnition_sample_0991@egnition.com,,,,,,,,,,,,,,2026-05-06 08:01:14 -0400,1,Nintendo Entertainment System: NES Classic Edition,57.00,"",TOY24,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTENDO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1169,egnition_sample_4182@egnition.com,paid,,unfulfilled,,no,USD,19.00,0.00,0.00,19.00,"",0.00,"",2026-05-06 08:01:11 -0400,1,Lego Super Heroes Mighty Micros: Wonder Women Vs.Doomsday,19.00,,TOY06,false,true,pending,Keith Abernathy,"P.O. Box 273, 6896 Tempus Rd.","P.O. Box 273, 6896 Tempus Rd.",,,Nantes,'914654,,MD,+37322221725,Dixie Schmeler,417-3619 Pellentesque. Av.,417-3619 Pellentesque. Av.,,,Badalona,'23863,,LB,+9611427183,,"",,"","",0.00,LEGO,19.00,,,,6682759200996,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1168,egnition_sample_0575@egnition.com,refunded,,unfulfilled,,no,USD,389.00,0.00,0.00,389.00,"",0.00,"",2026-05-06 08:01:08 -0400,1,Nintendo New 3DS XL,389.00,,TOY28,false,true,pending,Thaddeus Sipes,Ap #336-7706 Vehicula Rd.,Ap #336-7706 Vehicula Rd.,,,Benalla,'54239,,KG,+996315876527,Hettie Bogisich,913-2468 Id Ave,913-2468 Id Ave,,,Gulfport,'31464,,GQ,+240551898371,,"",,"","",0.00,NINTENDO,389.00,,,,6682759102692,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1167,egnition_sample_7133@egnition.com,pending,,unfulfilled,,no,USD,102.99,0.00,0.00,102.99,"",0.00,"",2026-05-06 08:01:05 -0400,1,MegaBlocks Call of Duty Atlas Mobile Turret,24.99,,TOY60,false,true,pending,Florida Leffler,4497 Pede Av.,4497 Pede Av.,,,Newcastle,'4510,,FO,+298340374,Imogene Wiegand,346-7327 Massa St.,346-7327 Massa St.,,,Berlin,77805979 ,,GB,+441212125369,,"",,"","",0.00,MEGA BLOCKS,102.99,,,,6682759037156,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1167,egnition_sample_7133@egnition.com,,,,,,,,,,,,,,2026-05-06 08:01:05 -0400,1,Gamesir F1 Joystick,78.00,"",TOY29,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTENDO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1166,egnition_sample_3331@egnition.com,refunded,,unfulfilled,,no,USD,150.00,0.00,0.00,150.00,"",0.00,"",2026-05-06 08:01:03 -0400,1,Nerf Modulus Recon MK11,36.00,,TOY39,false,true,pending,Natasha O'Conner,652-9825 Praesent Ave,652-9825 Praesent Ave,,,HH,'65077,,MV,+9603303421,Lafayette Rowe,"P.O. Box 214, 9833 Venenatis Av.","P.O. Box 214, 9833 Venenatis Av.",,,Cherbourg-Octeville,'274366,,IQ,+9647501129126,,"",,"","",0.00,NERF,150.00,,,,6682758971620,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1166,egnition_sample_3331@egnition.com,,,,,,,,,,,,,,2026-05-06 08:01:03 -0400,1,Hasbro Pie Face Showdown,36.00,"",TOY18,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,HASBRO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1166,egnition_sample_3331@egnition.com,,,,,,,,,,,,,,2026-05-06 08:01:03 -0400,1,Gamesir F1 Joystick,78.00,"",TOY29,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTENDO,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1165,egnition_sample_7284@egnition.com,refunded,,unfulfilled,,no,USD,17.00,0.00,0.00,17.00,"",0.00,"",2026-05-06 07:59:43 -0400,1,Nerf N-Strike Elite AccuStrike Series Falconfire Blaster,17.00,,TOY40,false,true,pending,Colton Roob,363-3931 Ad St.,363-3931 Ad St.,,,Zaragoza,K7Y 5H7,,EE,+3724403217,Jose Treutel,"P.O. Box 269, 705 Duis Av.","P.O. Box 269, 705 Duis Av.",,,Zaragoza,'6624,,TZ,+255688054267,,"",,"","",0.00,NERF,17.00,,,,6682758119652,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1164,egnition_sample_8209@egnition.com,paid,,unfulfilled,,no,USD,73.99,0.00,0.00,73.99,"",0.00,"",2026-05-06 07:59:41 -0400,1,Fisher-Price Mega Bloks Elephant Parade,56.99,,TOY58,false,true,pending,Brett Dicki,"P.O. Box 128, 1891 Fusce Road","P.O. Box 128, 1891 Fusce Road",,,Puttlingen,'596967,,BW,+2673956537,Rosie Runolfsdottir,3508 Pharetra. Av.,3508 Pharetra. Av.,,,Nantes,'42621,,PY,+59546815309,,"",,"","",0.00,MEGA BLOCKS,73.99,,,,6682758054116,"egnition-sample-data, toys",Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1164,egnition_sample_8209@egnition.com,,,,,,,,,,,,,,2026-05-06 07:59:41 -0400,1,Nerf N-Strike Elite AccuStrike Series Falconfire Blaster,17.00,"",TOY40,false,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,NERF,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
