title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
Does the job,"It's a decent product for the price, but don't expect anything mind-blowing. It works fine for basic needs.",3,2025-08-12 07:16:23 UTC,wizard,ok,Devonte Leuschke,egnition_sample_3467@egnition.com,9027405611236.0,hasbro-monopoly-star-wars-game-set,,,,,,review-68824cc2-1419-4517-b9e9-0c4e38ab1fa4
Average quality,"It's a decent product for the price, but don't expect anything mind-blowing. It works fine for basic needs.",3,2025-12-18 07:16:23 UTC,wizard,ok,Louvenia Schiller,egnition_sample_7133@egnition.com,9027405873380.0,hasbro-fantastic-gymnastics,,,,,,review-87fcd747-7f07-41fe-b7d2-4e8015f02482
Disappointing,"The design is nice, but the description was a bit misleading. it's much smaller than expected and the performance is subpar.",1,2025-09-24 07:16:23 UTC,wizard,ok,Jesus Muller,egnition_sample_9039@egnition.com,9027405873380.0,hasbro-fantastic-gymnastics,,,,,,review-44837c2c-7f82-4b4c-b328-e9ab8d8c0640
Not worth it,"The design is nice, but honestly, i'm quite disappointed. the material feels much cheaper than the photos suggested and it's already showing wear.",1,2025-11-02 07:16:23 UTC,wizard,ok,Dixie Schmeler,egnition_sample_9903@egnition.com,9027405054180.0,hasbro-games-yahtzee-classic,,,,,,review-397c5291-afc4-44e7-b7cb-07817ad6a85c
Exceeded expectations,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,5,2025-08-12 07:16:23 UTC,wizard,ok,Hertha Rau,egnition_sample_8789@egnition.com,9027405054180.0,hasbro-games-yahtzee-classic,,,,,,review-f0c32755-9c2e-40e0-963b-770073086b1f
Subpar material,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,1,2025-07-25 07:16:23 UTC,wizard,ok,Juliana Bogisich,egnition_sample_1818@egnition.com,9027404759268.0,lego-captain-phasma,,,,,,review-065b7a67-52ff-4549-af2b-d6947325137e
Surprised by the quality,Exactly what I was looking for. I've tried other brands before but this one feels much more durable. Only downside was the slightly long shipping time.,5,2026-03-20 07:16:23 UTC,wizard,ok,Juliana Bogisich,egnition_sample_1818@egnition.com,9027405054180.0,hasbro-games-yahtzee-classic,,,,,,review-854342f3-5ef9-4f3c-8334-86b242166797
Regret this purchase,"I really wanted to like this, but it arrived with a slight defect. Customer service was okay, but the product isn't great.",2,2025-12-13 07:16:23 UTC,wizard,ok,Thaddeus Sipes,egnition_sample_8211@egnition.com,9027405349092.0,hasbro-fur-real-snifflinsawyer,,,,,,review-28afba8e-c38d-4337-ace4-8a624ed4f774
Could be better,"Good enough, but I feel like it could be a bit more sturdy. I'll keep it, but I'm not totally in love with it.",3,2025-05-12 07:16:23 UTC,wizard,ok,Caden O'Connell,egnition_sample_0113@egnition.com,9027404464356.0,lego-2016-sergeant-jyn-erso,,,,,,review-feac7a4b-96f8-41d6-ab23-228d90b4fb35
Issues from day one,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,2,2025-07-08 07:16:23 UTC,wizard,ok,Florida Leffler,egnition_sample_1011@egnition.com,9027404202212.0,lego-bumblebee-helicopter,,,,,,review-abf75a37-a3b2-46ab-95ec-55721179253c
Regret this purchase,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,1,2025-11-24 07:16:23 UTC,wizard,ok,Rosie Runolfsdottir,egnition_sample_2403@egnition.com,9027404464356.0,lego-2016-sergeant-jyn-erso,,,,,,review-076b812c-e25d-479b-b137-d9cf3bb3a819
Exceeded expectations,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,5,2025-06-29 07:16:23 UTC,wizard,ok,Madelynn Hauck,egnition_sample_2826@egnition.com,9027404464356.0,lego-2016-sergeant-jyn-erso,,,,,,review-d196edd8-9ef8-4478-a718-28556b8c97e2
Poor experience,"The design is nice, but the description was a bit misleading. it's much smaller than expected and the performance is subpar.",2,2025-10-15 07:16:23 UTC,wizard,ok,Brendon Schneider,egnition_sample_2630@egnition.com,9027404464356.0,lego-2016-sergeant-jyn-erso,,,,,,review-2d5048a9-d931-48b6-8943-4e777c9818e7
Exactly as described,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,5,2026-02-19 07:16:23 UTC,wizard,ok,Kacey Shields,egnition_sample_8209@egnition.com,9027403514084.0,lego-duplo-fun-family-fair,,,,,,review-1929b07c-900a-4b70-b97b-4da800fcbd6a
A solid purchase,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,4,2026-02-28 07:16:23 UTC,wizard,ok,Devonte Leuschke,egnition_sample_3467@egnition.com,9027403710692.0,lego-super-heroes-mighty-micros-wonder-women-vs-doomsday,,,,,,review-9956373d-66f8-4a60-9662-a3a88bc6f312
Value for money,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,4,2025-08-05 07:16:23 UTC,wizard,ok,Alexandra Hill,egnition_sample_4088@egnition.com,9027403972836.0,lego-juniors,,,,,,review-0937f2a4-19f7-4fd8-9716-cadf482f85db
Surprised by the quality,"I was skeptical at first, but after using it for a week, I'm genuinely impressed. The build quality is top-notch.",5,2025-10-22 07:16:23 UTC,wizard,ok,Jayce Dickinson,egnition_sample_6604@egnition.com,9027403972836.0,lego-juniors,,,,,,review-7f49cc32-9cdc-42f9-9a74-920e964a1342
Subpar material,"The design is nice, but save your money. there are better alternatives out there. this one started having issues within the first few days.",2,2025-12-23 07:16:23 UTC,wizard,ok,Saul Veum,egnition_sample_3306@egnition.com,9027403972836.0,lego-juniors,,,,,,review-2261c5b7-be02-417a-964c-192a749a9ea0
Surprised by the quality,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,4,2025-06-21 07:16:23 UTC,wizard,ok,Sherman Feest,egnition_sample_1251@egnition.com,9027403251940.0,lego-mobile-command-center,,,,,,review-3b9c9276-040d-40db-9fef-65421eaa2257
Exceeded expectations,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,4,2026-03-01 07:16:23 UTC,wizard,ok,Keegan Stokes,egnition_sample_0575@egnition.com,9027403514084.0,lego-duplo-fun-family-fair,,,,,,review-ba23e0d0-0cb5-410d-80e5-eca42e819a67
Not worth it,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",1,2026-04-11 07:16:23 UTC,wizard,ok,Jesus Muller,egnition_sample_9039@egnition.com,9027403514084.0,lego-duplo-fun-family-fair,,,,,,review-5e1a921d-372b-4bd8-8729-55da02583a1b
A solid purchase,"I was skeptical at first, but after using it for a week, I'm genuinely impressed. The build quality is top-notch.",5,2025-05-26 07:16:23 UTC,wizard,ok,Cortney Ritchie,egnition_sample_4918@egnition.com,9027402957028.0,lego-super-heroes-attack-on-avengers-tower,,,,,,review-4b5b67cf-05f4-4e2a-8824-b5a9f331ab4f
Surprised by the quality,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2026-02-22 07:16:23 UTC,wizard,ok,Devonte Leuschke,egnition_sample_3467@egnition.com,9027403251940.0,lego-mobile-command-center,,,,,,review-3b0a3645-8231-43e5-b14d-6e479dc4f5db
A solid purchase,"I was skeptical at first, but after using it for a week, I'm genuinely impressed. The build quality is top-notch. Only downside was the slightly long shipping time.",5,2025-11-15 07:16:23 UTC,wizard,ok,Brendon Schneider,egnition_sample_2630@egnition.com,9027402563812.0,lego-batman-movie-clayface-splat-attack,,,,,,review-408b8c95-a05c-4f8a-82b7-eab8d4eea4c5
Surprised by the quality,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again. Only downside was the slightly long shipping time.,4,2025-10-24 07:16:23 UTC,wizard,ok,Gillian Wilderman,egnition_sample_5781@egnition.com,9027402563812.0,lego-batman-movie-clayface-splat-attack,,,,,,review-8123eb4e-5ac4-4aeb-9d07-fe7e604e7e73
Exceeded expectations,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,5,2025-08-08 07:16:23 UTC,wizard,ok,Brendon Schneider,egnition_sample_2630@egnition.com,9027402563812.0,lego-batman-movie-clayface-splat-attack,,,,,,review-b0f432ef-6572-4f6d-9fa1-f71eb6cd9405
Could be better,"Good enough, but I feel like it could be a bit more sturdy. I'll keep it, but I'm not totally in love with it.",3,2025-10-28 07:16:23 UTC,wizard,ok,Heloise Murazik,egnition_sample_3331@egnition.com,9027402957028.0,lego-super-heroes-attack-on-avengers-tower,,,,,,review-ef6a7997-7483-41f4-8797-255ae56aa93b
Actually really good,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again.,4,2025-06-24 07:16:23 UTC,wizard,ok,Orville Batz,egnition_sample_1473@egnition.com,9027402563812.0,lego-batman-movie-clayface-splat-attack,,,,,,review-92afd142-413c-43a4-b876-60da0fcd2b26
A solid purchase,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point. Only downside was the slightly long shipping time.,4,2025-08-27 07:16:23 UTC,wizard,ok,Kariane Rogahn,egnition_sample_2836@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-13f4f99d-a500-49ba-8c23-ba7e9655a613
Regret this purchase,Save your money. There are better alternatives out there. This one started having issues within the first few days.,2,2025-05-12 07:16:23 UTC,wizard,ok,Colton Roob,egnition_sample_1089@egnition.com,9027402236132.0,lego-marvel-super-heroes-marvel-avengers-infinity-war-outrider-dropship-attack-set,,,,,,review-cfc9bbae-cf40-41d7-9e0c-7c74b18a5e77
Disappointing,"The design is nice, but the description was a bit misleading. it's much smaller than expected and the performance is subpar.",2,2025-05-15 07:16:23 UTC,wizard,ok,Lesley Schowalter,egnition_sample_4200@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-eab3673d-6f99-4793-9e2b-961950bb20ba
Actually really good,"I was skeptical at first, but after using it for a week, I'm genuinely impressed. The build quality is top-notch. Only downside was the slightly long shipping time.",4,2025-09-14 07:16:23 UTC,wizard,ok,Edward Wunsch,egnition_sample_8865@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-5b6df443-1761-40f5-a6f0-894e1e4c3e06
Surprised by the quality,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,4,2025-12-06 07:16:23 UTC,wizard,ok,Florida Leffler,egnition_sample_1011@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-62b907f0-bed9-4f59-8218-4cbd3d3978b1
Value for money,Exactly what I was looking for. I've tried other brands before but this one feels much more durable.,5,2025-08-10 07:16:23 UTC,wizard,ok,Woodrow Mosciski,egnition_sample_3722@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-82d49964-f071-4ba8-b9aa-6980ab5cc677
Disappointing,The description was a bit misleading. It's much smaller than expected and the performance is subpar.,1,2025-05-24 07:16:23 UTC,wizard,ok,Gillian Wilderman,egnition_sample_5781@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-98745d3e-82b7-4774-a468-4b77fc71a04e
Actually really good,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,5,2025-08-27 07:16:23 UTC,wizard,ok,Luella Mohr,egnition_sample_7426@egnition.com,9027393126628.0,adidas-classic-backpack-legend-ink-multicolour,,,,,,review-e29c9e7a-0bd1-42b8-8623-57b7aa119594
Poor experience,"The design is nice, but i really wanted to like this, but it arrived with a slight defect. customer service was okay, but the product isn't great.",2,2026-04-18 07:16:23 UTC,wizard,ok,Madisyn Romaguera,egnition_sample_1637@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-7e121545-499f-4dc6-b997-dbe3850045e8
Poor experience,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",2,2025-08-03 07:16:23 UTC,wizard,ok,Sherman Feest,egnition_sample_1251@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-bc140c75-fc83-4473-8982-407bd58c1736
Exceeded expectations,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again. Only downside was the slightly long shipping time.,4,2026-04-21 07:16:23 UTC,wizard,ok,Jarret Nikolaus,egnition_sample_4453@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-f9a28a17-99e5-46d5-a142-a3d2226f3552
A solid purchase,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again. Only downside was the slightly long shipping time.,4,2026-01-10 07:16:23 UTC,wizard,ok,Agustin Tromp,egnition_sample_2521@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-a92e22d7-afcd-46ed-b0ec-0e419d4f8181
Regret this purchase,"The design is nice, but save your money. there are better alternatives out there. this one started having issues within the first few days.",2,2025-05-25 07:16:23 UTC,wizard,ok,Luella Mohr,egnition_sample_7426@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-22f11675-7dbb-43c5-b907-980842bdeb65
Not worth it,"Honestly, I'm quite disappointed. The material feels much cheaper than the photos suggested and it's already showing wear.",2,2025-06-11 07:16:23 UTC,wizard,ok,Saul Veum,egnition_sample_3306@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-312c62ed-951f-4201-9106-799b9c604064
Subpar material,"I really wanted to like this, but it arrived with a slight defect. Customer service was okay, but the product isn't great.",1,2025-12-27 07:16:23 UTC,wizard,ok,Hertha Rau,egnition_sample_8789@egnition.com,9027393093860.0,adidas-classic-backpack,,,,,,review-e1299ee2-2706-41dc-b62f-45acd6385bfb
Actually really good,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point. Only downside was the slightly long shipping time.,4,2025-11-04 07:16:23 UTC,wizard,ok,Lenna Bernhard,egnition_sample_6067@egnition.com,9027393061092.0,nike-swoosh-pro-flat-peak-cap,,,,,,review-ded08ee7-e6ce-43f9-bc7d-104ab6e518eb
Actually really good,Solid product. It has a premium feel to it and the packaging was very secure. Would definitely buy again. Only downside was the slightly long shipping time.,5,2026-01-22 07:16:23 UTC,wizard,ok,Louvenia Schiller,egnition_sample_7133@egnition.com,9027393061092.0,nike-swoosh-pro-flat-peak-cap,,,,,,review-dbf0ce62-9b02-415c-a3b1-ec75431ba12b
Regret this purchase,"I really wanted to like this, but it arrived with a slight defect. Customer service was okay, but the product isn't great.",2,2025-11-22 07:16:23 UTC,wizard,ok,Brett Dicki,egnition_sample_8235@egnition.com,9027393061092.0,nike-swoosh-pro-flat-peak-cap,,,,,,review-b6c569ce-ce2f-4b4a-95d4-63b242de7bb8
Exactly as described,Arrived earlier than expected! It looks great and functions perfectly. Definitely worth the price point.,5,2025-12-07 07:16:23 UTC,wizard,ok,Kariane Rogahn,egnition_sample_2836@egnition.com,9027393061092.0,nike-swoosh-pro-flat-peak-cap,,,,,,review-01dc6163-0730-4894-828d-a9ea87f0ba5c
